cuvant,definitie,parte_de_vorbire,frecventa
pasăre,"Clasă de vertebrate ovipare, cu corpul acoperit cu pene, cu aripi pentru zbor și cu fălcile acoperite cu formații cornoase; (și la sg.) animal din această clasă.;",substantiv,6679
criză,"o situație instabilă, de pericol sau dificultate extremă",substantiv,6672
ocean,"Vastă întindere de apă sărată de pe suprafața globului, delimitată de continente.",substantiv,6666
artist,Persoană de talent care lucrează în mod creator într-un domeniu al artei,substantiv,6653
bătrână,Femeie în vârstă înaintată,substantiv,6648
spălat,"A (se) curăța folosind apă, săpun, detergenți etc.",substantiv,6645
pescuit,Acțiunea de a pescui ca divertisment,substantiv,6642
profund,"Înzestrat cu o mare putere de pătrundere, de înțelegere",adjectiv,6638
expert,"Persoană care cunoaște temeinic o disciplină, o problemă în domeniul căreia profesează.",substantiv,6634
trezi,a face să se trezească,verb,6625
zilnic,Care se întâmplă în fiecare zi,adjectiv,6616
înregistrare,Convertirea datelor dintr-un cod în altul,substantiv,6615
gaz,"Nume generic dat corpurilor fluide cu densitate redusă, incolore, ușor deformabile și expansibile, care, din cauza coeziunii moleculare slabe, nu au formă proprie stabilă și tind să ocupe întregul volum pe care îl au la dispoziție",substantiv,6609
marfă,Obiecte oferite spre vânzare,substantiv,6599
iarbă,"Nume generic dat plantelor erbacee, anuale sau perene, cu părțile aeriene verzi, subțiri și mlădioase, folosite pentru hrana animalelor",substantiv,6597
încotro,"În orice loc, indiferent unde",adverb,6591
rar,"(Adesea adverbial) Care se petrece, se efectuează sau se succedă la intervale mai depărtate sau într-un anumit timp mai lung decât cel obișnuit, care se desfășoarăîntr-un ritm lent",adjectiv,6580
dosar,"Totalitatea actelor referitoare la o afacere, la o problemă, la o persoană",substantiv,6561
sinucidere,Acțiunea de a se sinucide,substantiv,6555
dezgustător,"Care provoacă scârbă , greață, repulsie, silă",adjectiv,6545
simți,"A avea, prin intermediul organelor de simț, senzația sau percepția unui lucru, a unui fapt, a unei calități, a percepe efectul unei excitații;",verb,6539
ierta,"A scuti pe cineva de o pedeapsă, a trece cu vederea vina, greșeala cuiva, a nu mai considera vinovat pe cineva",verb,6539
sol,numele celei de-a cincea note muzicale,substantiv,6536
baseball,"joc sportiv (la americani) între două echipe a câte 9 jucători, asemănător cu oina",substantiv,6533
inutil,care nu aduce succes,adjectiv,6524
împreuna,"a împreuna, a alătura, a îmbina spre a forma un tot.",verb,6515
interzis,"Care este oprit, care nu este permis.",adjectiv,6506
fura,"A lua cu sila pe cineva, a duce cu sine în mod silnic pe cineva.",verb,6501
greșit,Care nu este corect,adjectiv,6485
pază,responsabilitatea unui paznic sau a unui supraveghetor,substantiv,6478
celulă,"Element constitutiv fundamental al organismelor vii, alcătuit din membrană, citoplasmă și nucleu, reprezentând cea mai simplă unitate anatomică.",substantiv,6476
sfânt,"Care ține de divinitate, de religie, de cultul divin",adjectiv,6471
bandă,"Ceată, grup de răufăcători care acționează sub conducerea unui șef",substantiv,6468
ministru,"înalt funcționar de stat, membru al guvernului, care conduce un minister",substantiv,6460
cerere,Acțiunea de a (se) cere,substantiv,6456
tort,"prăjitură mare ( rotundă) din mai multe straturi de aluat și umplută cu cremă, cu dulceață etc.",substantiv,6452
gravidă,care poartă un făt în cavitatea uterină,adjectiv,6441
ieftin,"Care are un preț ( relativ) mic, care nu costă scump",adjectiv,6438
sexual,"care este privit din punctul de vedere al raportului dintre sexe, care se referă la viața sexuală.",adjectiv,6429
vot,"opinie exprimată de membrii unei adunări constituite în legătură cu o candidatură, cu o propunere sau cu o hotărâre",substantiv,6421
dulap,"mobilă de lemn sau de metal prevăzută cu rafturi, în care se păstreză rufe, haine, vase cărți",substantiv,6419
dormitor,"Cameră de dormit (într-o locuință particulară, într-o școală, într-o cazarmă etc.)",substantiv,6419
univers,Totalitate a celor existente în realitate,substantiv,6408
articol,"Expunere scrisă (de proporții mai reduse) cu caracter publicistic, pe o temă politică, economică, științifică etc.",substantiv,6407
repara,"a face propriu pentru folosire, a reface, a readuce în stare bună, a repune în stare de funcționare",verb,6406
refuz,faptul de a refuza,substantiv,6405
