cuvant,definitie,parte_de_vorbire,frecventa
ușiță,Loc liber prin care se poate pătrunde în interiorul unui lucru sau prin care se poate vedea.,substantiv,1
înroșire,"Proces patologic datorat unui excitant chimic, fizic și mai ales microbian și manifestat prin durere, temperatură, înroșirea și umflarea locului bolnav.",substantiv,1
prăznui,A celebra o sărbătoare religioasă,verb,1
umecta,A face să devină umed.,verb,1
înfățișa,A expune ceva intenționat privirilor sau părerilor cuiva,verb,1
zbici,a deveni uscat sau mai uscat,verb,1
șlefui,a lustrui,verb,1
descrește,"A (se) reduce, a (se) micșora, a (se) diminua, a descrește sau a face să descrească",verb,1
dezminți,"A contesta o afirmație, a nu recunoaște ceva. "" A tăgăduit că ar fi luat banii. """,verb,1
jupi,"A se coșcovi, a se scoroji",verb,1
concorda,A fi în acord,verb,1
debilita,A face să devină debil.,verb,1
culisa,a pune în mișcare un pinion angrenat cu o cremalieră,verb,1
retipări,A tipări din nou,verb,1
pietrui,"A acoperi cu piatră un drum, o șosea etc.",verb,1
eructa,"A scoate pe gât un zgomot caracteristic, provocat de eliminarea gazelor din stomac.",verb,1
hirotonisi,"a numi pe cineva într-un post cleric, după canoanele bisericești",verb,1
hirotoni,"a numi pe cineva într-un post cleric, după canoanele bisericești",verb,1
nesocotință,faptă prostească,substantiv,1
pronosticare,Cunoașterea viitorului (obținută de obicei dintr-o sursă divină),substantiv,1
coroniță,"Podoabă în formă de cunună făcută din metal prețios și împodobită cu pietre scumpe, purtată pe cap de suverani, de unii reprezentanți ai bisericii și, în reprezentările plastice, de anumite divinități",substantiv,1
tălmăcire,explicație rezultată din interpretarea a ceva,substantiv,1
ornare,Acțiunea de a decorași rezultatul ei,substantiv,1
lăstun,Pasăre migratoare mică asemănătoare cu rândunica.,substantiv,1
icră,Denumire generică pentru ovulele de pește.,substantiv,1
ieșitură,"Partea ieșită în afară (la o construcție, la o piesă etc.)",substantiv,1
întrebuința,A face uz (de ceva),verb,1
dizloca,A elibera dintr-o strânsoare,verb,1
țiui,"A produce un sunet prelung, ascuțit, cu rezonanță metalică.",verb,1
ațipi,"a începe să doarmă, a fi cuprins de un somn ușor",verb,1
ciopârți,"A tăia (cu toporul, cu târnăcopul etc.).",verb,1
șmecherește,precum șmecherii,adverb,1
deșerta,"A scoate sau a consuma întregul conținut dintr-un vas, recipient, spațiu etc.",verb,1
moraliza,A da cuiva învățături morale.,verb,1
zgâlțâi,A scutura tare,verb,1
pieziș,"care nu este montat corect, lăsat sau căzut într-o parte",adjectiv,1
hazardant,în manieră periculoasă,adverb,1
înțepeni,a căpăta o anchiloză,verb,1
miji,"A începe să se zărească; a apărea, a se ivi.",verb,1
scornitură,"Poveste interesantă dar implauzibilă, spusă de obicei ca scuză",substantiv,1
peți,face unei fete propuneri de căsătorie,verb,1
transla,a deplasa prin translație (1),verb,1
dezagrea,"A nu mai acorda considerația, stima, atenția cuvenită cuiva sau la ceva",verb,1
căzni,a depune eforturi pentru a realiza ceva,verb,1
conștientiza,"A recunoaște importanța sau meritul cuiva sau a ceva, a lua în considerare, a pune mare preț pe...",verb,1
zurui,"Despre metale, clopote, sticlă; la pers. 3) A produce prin izbire sau prin lovire un sunet metalic specific",verb,1
reînsufleți,A face să fie din nou folosit,verb,1
șuta,"A lovi (puternic) mingea cu piciorul, cu mâna, cu capul sau cu un instrument (la unele jocuri sportive)",verb,1
impasibilitate,lipsă de emoție,substantiv,1
ticsi,A umple până la refuz cu ceva.,verb,1
submerge,a (se) cufunda (într-un lichid sau sub suprafață),verb,1
muștiuc,"Piesă detașabilă (de ebonită, de os sau de metal) la instrumentele muzicale de suflat, prin care se suflă.",substantiv,1
reimprimare,înregistrarea unei melodii care a fost pentru prima dată înregistrată sau publicată de altcineva,substantiv,1
veracitate,"Însușirea, caracterul a ceea ce este veridic",substantiv,1
sardonix,"varietate roșie-brună de calcedonie, piatră semiprețioasă",substantiv,1
limbuție,"Înclinare, tendință de a vorbi mult și fără rost",substantiv,1
zădărnicire,Acțiunea de a zădărnici,substantiv,1
discordanță,"Lipsă de acord, de armonie între sunete",substantiv,1
incomprehensibilitate,însușirea de a fi incomprehensibil,substantiv,1
opina,"A-și forma o idee despre un lucru, a fi de părere",verb,1
balcâz,"(Reg.) Urât, hâd, diform, slut, pocit",substantiv,1
răcoreală,"Temperatură ușor scăzută, frig moderat",substantiv,1
samară,"Tip de fruct uscat, cu o singură sămânță, prevăzut cu o aripă subțire (la ulm, arțar, paltin etc.).",substantiv,1
picare,"Încetarea funcționării normale. "" I-au cedat genunchii """,substantiv,1
intonație,(Muz.) Emitere (corectă) a înălțimii unui sunet,substantiv,1
rezistivitate,"Forță pe care un conductor electric o opune trecerii curentului și care depinde de materialul din care este făcut conductorul, de grosimea și de lungimea lui",substantiv,1
strănutare,Simptom care consistă în expulzarea involuntară a aerului din nas.,substantiv,1
distructivitate,proprietatea de a cauza distrugere,substantiv,1
cișmea,Instalație exterioară care furnizează apa într-o gospodărie.,substantiv,1
împrumutare,"Acțiunea de a-și însuși idei, cuvinte etc. ale altei persoane.",substantiv,1
jelitoare,Persoană care jelește moartea cuiva,substantiv,1
împăcăciune,restabilirea relațiilor cordiale,substantiv,1
subclasă,(Biol.) Subîmpărțire sistematică intermediară între clasă și ordin,substantiv,1
porționare,Acțiunea de a supune anumite produse unui control dirijat.,substantiv,1
piciorong,"(Depr., fam. sau glumeț) Picior foarte lung.",substantiv,1
sineală,apă cu albăstreală în care se clătesc rufele albe pentru a căpăta o tentă albăstrie.,substantiv,1
frăgezime,"Calitatea de a fi sau de a părea proaspăt, nou, tânăr, viu, fraged etc.",substantiv,1
peniță,"Placă de metal, mică și concavă, terminată printr-un vârf despicat, care, montată sau fixată la un toc sau stilou, folosește pentru a scrie cu cerneală.",substantiv,1
gonire,Vânătoare (cu gonaci și câini),substantiv,1
perturbație,"Deranjament, tulburare în în starea sau în mersul firesc al unui lucru, al unui fenomen.",substantiv,1
abrevia,"A nota ceva prescurtat, printr-un simbol, o siglă etc.",verb,1
căciular,Infanterist în vechea armată română,substantiv,1
pandur,Soldat din oastea lui Tudor Vladimirescu,substantiv,1
alivancă,Turtă făcută din mălai amestecat cu lapte bătut și cu brânză și coaptă în cuptor cu unt sau cu smântână,substantiv,1
balie,"Vas mare circular, făcut din doage, pentru spălatul rufelor",substantiv,1
barbută,"Monedă de la începutul secolului trecut, cu valoare de 2 lei (vechi) și 10 parale",substantiv,1
bârzoi,(expr.) cu coada bârzoi= cu coada ridicată în sus,adverb,1
beldie,Par lung,substantiv,1
bundă,"Blană mare făcută din piei de oaie, întrebuințată de țărani ca îmbrăcăminte de iarnă",substantiv,1
caravă,"Unealtă de pescuit de forma unei capcane deschise, care se instalează în lacurile litorale și în bălți pentru prinderea plăticii și a șalăului",substantiv,1
cataif,"Prăjitură preparată din două straturi de tăiței foarte fini, prăjiți și însiropați, între care se pune un strat gros de frișcă",substantiv,1
cipic,Papuc de lână împletită sau de stofă,substantiv,1
clucer,"Dregător care se ocupa cu aprovizionarea curții domnești, în evul mediu, în Moldova și țara Românească",substantiv,1
dârloagă,"Cal slab, prăpădit și bătrân",substantiv,1
habană,"(expr.) Ceramică habană= ceramică fină smălțuită, cu fond alb, ornamentată cu motive cinegetice, realizată de olarii din Transilvania în sec. XVII",adjectiv,1
iconar,Persoană care se ocupă cu pictarea icoanelor,substantiv,1
iminei,Pantofi de modă turcească făcuți din marochin și purtați în trecut de boieri (pluralia tantum),substantiv,1
ipingea,"Manta bărbătească făcută din dimie sau din postav, cu glugă și împodobită cu găitane",substantiv,1
maramă,"Fâșie de voal fin, cu care își acoperă capul femeile de la țară când se îmbracă în costum național, lăsând capetele să atârne până aproape de pământ",substantiv,1
mânzoc,Mânz de doi sau trei ani,substantiv,1
pârcălab,"Titlu dat în evul mediu în țările românești persoanelor însărcinate cu conducerea unui județ, a unui ținut, a unei cetăți, având atribuții militare, administrative și judecătorești",substantiv,1
răcitură,"Mâncare preparată din carne, oase și cartilaje (de porc sau pasăre), fierte timp îndelungat într-o zeamă (cu usturoi) care, după răcire, se încheagă și devine gelatinoasă",substantiv,1
răzeș,"Țăran liber care stăpânea în devălmășie o bucată de pământ din moșia satului, transmis prin moștenire",substantiv,1
rișcă,Numele unui joc de noroc în care jucătorii trebuie să ghicească pe ce parte va cădea o monedă aruncată în sus,substantiv,1
saftea,"(pop. și fam.) Prima vânzare pe care o face un negustor dintr-o marfă (nouă) la începutul unei zile, al unei săptămâni etc.",substantiv,1
scordolea,"Preparat culinar din nuci pisate și miez de pâine frecate cu usturoi, oțet (sau zeamă de lămâie) și untdelemn",substantiv,1
somotei,Pui de somn până la 1kg,substantiv,1
strigătură,"Specie a liricii populare, de obicei în versuri, cu caracter epigramatic, cu aluzii satirice sau glumețe ori cu conținut sentimental, care se strigă la țară în timpul executării unor jocuri populare",substantiv,1
țigaie,"Rasă de oi autohtonă, crescută pentru producția de lână semifină, de carne și lapte",substantiv,1
zăbun,"Haină bărbătească purtată de țărani, făcută din lână sau din bumbac, de obicei lungă, cu sau fără mâneci, împodobită cu cusături",substantiv,1
frustrație,sentimentul de supărare (iritare) datorat piedicilor sau criticilor,substantiv,1
iuțeală,calitatea de a fi agil și iute.,substantiv,1
amăreală,"Proprietatea de a avea un gust neplăcut, acid.",substantiv,1
pârâitură,Ruptură bruscă.,substantiv,1
portțigaret,Cutiuță în care se păstrează tutunul sau țigările,substantiv,1
înlănțuire,modul de legare dintre lucrurile legate în serie,substantiv,1
circumspecție,prudență pentru evitarea pericolelor,substantiv,1
verbozitate,"Înclinare, tendință de a vorbi mult și fără rost",substantiv,1
linșare,ucidere a cuiva fără judecată de către o mulțime incitată,substantiv,1
nealiniere,"concepție și practică politică de neparticipare la confruntările dintre diferite state sau blocuri politico-militare, neangajare",substantiv,1
dizidență,Dezaprobare fățișă a unui sistem totalitar.,substantiv,1
denaturaliza,"a ridica naturalizarea (cuiva), a-l priva de drepturile câștigate prin naturalizare",verb,1
zvâcnet,durere intermitentă cu o mare intensitate,substantiv,1
iluzionare,acțiunea de a se iluziona; decepție creată de idei iluzorii,substantiv,1
transluciditate,"Faptul de a fi opac, de a se opune la trecerea luminii",substantiv,1
înierba,A planta cu ierburi un teren sterp,verb,1
asamblaj,Ansamblu de organe de mașini care se îmbină formând o unitate,substantiv,1
câtime,Proprietate care poate fi reprezentată printr-un număr obținut dintr-o măsurare sau dintr-o numărare.;,substantiv,1
jeluitoare,femeie (eventual plătită în acest scop) care plânge la o înmormântare,substantiv,1
procreație,"prin specializare) act fiziologic prin care fătul uman, ajuns în stadiu de maturitate, este expulzat sau extras prin căile naturale din cavitatea uterină",substantiv,1
zidire,"Construcție înălțată la suprafața pământului și care servește la adăpostirea unor oameni, unor animale, unor obiecte și instalații etc.",substantiv,1
opreg,"Piesă caracteristică portului popular femeiesc din unele regiuni ale țării, alcătuită dintr-o bucată dreptunghiulară și îngustă de țesătură, cu franjuri colorate, purtată peste poalele cămășii, în față și în spate sau numai în spate",substantiv,1
scoborî,a realiza o mișcare în jos,verb,1
hămăi,"A scoate sunete scurte, sacadate, caracteristice speciei",verb,1
decepționa,"A înșela speranțele sau încrederea cuiva, a cauza cuiva o decepție",verb,1
pardosi,A acoperi sau a căptuși cu scânduri,verb,1
hohoti,"Expresie : A se strica de râs; a râde foarte tare, cu hohote, a nu mai putea de râs",verb,1
prognostica,"A anunța, a vesti apariția în viitor a unor evenimente, fenomene etc.",verb,1
fracționa,"A împărți un întreg în mai multe părți, a reduce în fracțiuni, a divide",verb,1
redistribuție,o nouă distribuire,substantiv,1
globulină,"substanță proteică, foarte răspândită în plasma sangvină, în lapte și în unele vegetale",substantiv,1
nonviolență,rezistență pașnică la guvernare manifestată prin frivolitate și refuzul cooperării,substantiv,1
sotho,"una dintre limbile bantu sudice ale populației sotho din Botswana, Africa de Sud și Lesotho",substantiv,1
zarzăr,"Pom fructifer asemănător cu caisul, cu flori albe și cu fructe sferice mici, cu gust acrișor și cu sâmburii amari",substantiv,1
dravidian,individ dintr-un grup de populații negre din sudul Indiei,substantiv,1
prohibiție,Prevedere legală prin care se interzice săvârșirea anumitor fapte sau acte,substantiv,1
prolixitate,însușirea de a fi prolix,substantiv,1
pansare,acțiunea de aplicare a unui bandaj,substantiv,1
nicotinic,"Expresie : Acid nicotinic; compus organic, cristalizat, incolor, obținut pe cale sintetică și folosit la prepararea vitaminei PP",substantiv,1
miniu,"oxid de plumb cristalizat, obținut prin trecerea unui curent de aer peste plumb topit",substantiv,1
plevușcă,Nume generic dat peștilor mici,substantiv,1
șoricar,Soi de câine (terrier) care prinde șoareci,substantiv,1
șorecar,Numele mai multor păsări răpitoare din familia acvilidelor care se hrănesc mai ales cu șoareci.,substantiv,1
ailanthus,arbori de foioase asiatici,substantiv,1
clevetit,bârfă răspândită pe cale orală,substantiv,1
învârtitură,învârtire pe loc în vârful unui picior,substantiv,1
batal,Berbec castrat în vederea îmbunătățirii calității cărnii și a lânii.,substantiv,1
castanietă,"Instrument muzical de percuție (răspândit în Spania și în America Latină), format din două plăcuțe de lemn sau de fildeș, prinse ca valvele unei scoici, care sunt lovite ritmic una de alta și folosit la acompanierea dansului și a muzicii",substantiv,1
acreditiv,"modalitate de plată în practica comercială prin care banca cumpărătorului, se obligă a plăti vânzătorului, direct sau prin intermediul unei bănci corespondente, o anumită sumă de bani",substantiv,1
reamesteca,a amesteca din nou,verb,1
soldare,vânzare cu reducere de preț a mărfurilor rămase nevândute în sezon,substantiv,1
uxor,(jur.) cuvânt latinesc pentru soție,substantiv,1
glomerul,element al rinichiului,substantiv,1
piridoxină,Vitamină B esențială pentru metabolismul amino acizilor,substantiv,1
pirex,"sticlă rezistentă la variații bruște de temperatură, pentru aparate de laborator",substantiv,1
adiție,Ceva care se adaugă la ceea ce există deja,substantiv,1
actinie,"animal marin inferior, din încrengătura celenteratelor, cu gura înconjurată de tentacule frumos colorate, fixat pe stânci",substantiv,1
abomasum,al patrulea compartiment al stomacului rumegătoarelor,substantiv,1
exportare,"operație cu caracter comercial prin care o parte din mărfurile produse, prelucrate, completate sau reparate într-o țară se vând pe piața altor țări",substantiv,1
trombocit,"celulă sangvină, fără nucleu, plăcuțe, cu un rol important în coagularea sângelui",substantiv,1
consignație,livrare de bunuri pentru vânzare sau depozitare,substantiv,1
cristei,Pasăre călătoare care trăiește pe câmp și care se recunoaște mai ales prin sunetele ei scârțâitoare,substantiv,1
litografiere,Acțiunea de a face o litografie,substantiv,1
stigmatism,proprietate a unui sistem optic de a da pentru fiecare punct al unui obiect o imagine care este tot un punct,substantiv,1
carmelit,"membru al unui ordin călugăresc catolic, celebru prin austeritatea sa",substantiv,1
efemeridă,"insectă cu corp subțire și moale, care trăiește în stare adultă câteva zile sau câteva ore",substantiv,1
ciclotimie,"formă ușoară de psihopatie, caracterizată prin alternarea stărilor de euforie cu cele de depresiune",substantiv,1
consanguinitate,Legătură de sânge,substantiv,1
sericicultură,Ramură a zootehniei care are ca obiect creșterea și înmulțirea viermilor de mătase în vederea obținerii gogoșilor destinate prelucrării.,substantiv,1
piezoelectricitate,proprietate a unor substanțe cristaline de a se polariza electric datorită unor deformații mecanice sau de a-și modifica dimensiunile în prezența unui câmp electric variabil,substantiv,1
botină,cizmă care ajunge până la jumătatea distanței până la genunchi,substantiv,1
ament,"inflorescență racemoasă cu flori mici, unisexuate",substantiv,1
dicromat,Sare obținută prin tratarea cu acid a cromatului unui metal.,substantiv,1
odontalgie,durere localizată la nivelul unui dinte sau al mai multora,substantiv,1
elitră,"Fiecare dintre cele două aripi externe sau anterioare, tari și impregnate cu chitină, ale insectelor coleoptere",substantiv,1
certiorari,"(jur., lat.) dispoziție (în dreptul comun) dată de o instanță către altă instanță inferioară, prin care este cerut dosarul unui anumit caz",substantiv,1
congener,"cel care aparține aceluiași gen, aceleiași specii",substantiv,1
sulcus,"șanț într-un organ sau într-un țesut, în special cele care marchează circumvoluțiunile de pe suprafața creierului",substantiv,1
întemnițare,Acțiunea de a băga pe cineva la închisoare,substantiv,1
perfecționism,"tendință de a atinge perfecțiunea, progresul nelimitat",substantiv,1
diafiză,partea mediană a unui os lung,substantiv,1
echinocțiu,"Fiecare dintre cele două momente ale anului (în jurul lui 21 martie și 23 septembrie), când ziua este egală cu noapte.",substantiv,1
caracul,"Pielicică cu părul mătăsos și buclat, obținută de la mieii de rasă",substantiv,1
contrareplică,pledoarie a reclamantului ca răspuns la replica pârâtului,substantiv,1
assagai,Suliță de lemn cu vârf metalic din Africa,substantiv,1
batant,"(Despre uși, ferestre, capace etc.) Care se închide singur, printr-o mișcare de du-te-vino în jurul unei axe verticale situate la una dintre margini",substantiv,1
savură,"amestec de pietriș și de nisip întrebuințat la prepararea betonului, la pietruirea șoselelor",substantiv,1
calciferol,vitamină solubilă în grăsimi care previne rahitismul,substantiv,1
gresaj,acțiunea de a aplica lubrifiant pe un obiect,substantiv,1
leguminos,"(Substantivat, f. pl.) Familie de plante dicotiledonate al căror fruct este o păstaie",substantiv,1
scuzare,Acțiunea de a scuza cuiva o ofensă sau o greșeală,substantiv,1
prerafaelit,adept al prerafaelitismului,substantiv,1
nesăbuință,faptul de a nu fi atent la pericole,substantiv,1
lezmaiestate,crimă care subminează guvernul,substantiv,1
turcoază,"fosfat natural hidratat de aluminiu și cupru, mineral colorat în albastru sau în verde, piatră semiprețioasă",substantiv,1
uraninit,"Oxid natural de uraniu cristalizat, de culoare neagră ca smoala și cu luciu gras.",substantiv,1
syrinx,"Instrument de suflat primitiv, asemănător unui nai",substantiv,1
prefabricare,"Fabricarea unor părți ale unei construcții direct la fabrică, pentru a putea fi asamblate rapid la fața locului",substantiv,1
teleologie,"concepție filozofică idealistă potrivit căreia atât societatea, cât și natura ar fi organizate conform unui anumit scop, cu o anumită finalitate",substantiv,1
mozambican,Persoană care face parte din populația de bază a Mozambicului sau este originară de acolo,substantiv,1
haploid,"(despre celule, organisme) cu un singur set de cromozomi",substantiv,1
furtunar,"Pasăre marină de mărimea unui porumbel, cu nările situate la capătul unor tuburi cornoase de pe cioc, care trăiește în jurul Mării Mediterane",substantiv,1
voinicică,"Plantă erbacee din familia cruciferelor, cu tulpină și frunze păroase și cu flori galbene așezate în ciorchini în vârful tulpinii",substantiv,1
ampenaj,"Dispozitiv al unui avion dispus în spatele fuzelajului, care servește la stabilitatea, la echilibrul sau la schimbare direcției avionului respectiv",substantiv,1
poștalion,"trăsură mare cu cai, folosită în trecut, la transportul regulat de poștă și călători pe distanțe lungi",substantiv,1
boți,a face să-și piardă netezimea,verb,1
dezlănțuire,manifestarea bruscă și cu putere a ceva,substantiv,1
radere,evenimentul prin care o construcție este complet demolată și locul pe care a fost este nivelat,substantiv,1
hiperestezie,sensibilitate exagerată a unui organ de simț,substantiv,1
cotarlă,(depr.) câine,substantiv,1
aluviune,"Material format din bolovani, mâl, nisip și pietriș, adus de apele curgătoare și depus pe fundul albiei, pe luncă sau la vărsare.",substantiv,1
tswana,"Limbă aparținătoare familiei sotho, vorbită de tswana",substantiv,1
setswana,"Limbă aparținătoare familiei sotho, vorbită de tswana",substantiv,1
danaidă,fluture diurn din Africa cu aripile viu colorate,substantiv,1
steatit,"Varietate de talc, de culoare albă, gălbuie sau cenușie, cu diferite întrebuințări în industrie, la fabricarea unor obiecte decorative etc.",substantiv,1
iuncher,Elev a unei școli militare,substantiv,1
escamotare,"Acțiunea de a face să dispară ceva fără să se bage de seamă, a ascunde cu iscusință",substantiv,1
maistră,femeie care are funcția de maistru și direcționează activitatea unui grup de muncitori,substantiv,1
injustiție,"faptă, situație nedreaptă",substantiv,1
pufăitură,Zgomot caracteristic produs de o ființă sau de un obiect care pufăie,substantiv,1
ciubotărie,Meseria pantofarului.,substantiv,1
cesionare,acțiunea de a ceda,substantiv,1
claustrare,Acțiunea de a se izola de ceilalți,substantiv,1
fânărie,teren pe care crește în mod natural sau prin cultivare iarbă pentru fân,substantiv,1
fânaț,teren pe care crește în mod natural sau prin cultivare iarbă pentru fân,substantiv,1
agreabilitate,Însușirea de a fi agreabil,substantiv,1
transcendență,"starea de a fi dincolo de orice domeniu dat, de lumea materială",substantiv,1
vandabilitate,însușirea de a fi vandabil,substantiv,1
prearanjament,Un lucru aranjat cu ceva timp înainte,substantiv,1
defrișat,"(Despre un teren, o regiune etc.) De pe care s-au tăiat pădurile",adjectiv,1
metilendioximetamfetamină,"substanță stimulatoare, înrudită chimic cu mescalina și amfetamina, folosită ilegal pentru efectele euforice și halucinogene. Deși utilizată în psihoterapie, a fost interzisă în Statele Unite ale Americii începând cu 1985.",substantiv,1
pedicel,"Mic peduncul care susține frunza, floarea (într-o inflorescență) etc.",substantiv,1
decametru,"unitate de măsură pentru lungimi, de 10 metri",substantiv,1
saftian,"Piele subțire și fină de capră (sau de oaie, de vițel), din care se confecționează articole de marochinărie și de galanterie",substantiv,1
insistare,Cereri continue și persistente,substantiv,1
evidențiere,Acțiunea de a sublinia importanța specială a ceva,substantiv,1
decigram,"unitate subdivizionară de măsură pentru masă, a zecea parte dintr-un gram",substantiv,1
semifabricat,"Produs care nu a trecut prin toate fazele prelucrării prevăzute de procesul tehnologic al producției, având nevoie de o serie de operații pentru a deveni un produs finit",substantiv,1
interoperabilitate,"(informatică) posibilitatea de a schimba și folosi informație (de obicei în rețele mari de calculatoare alcătuite din rețele mai mici, de tipuri diverse)",substantiv,1
deșteptăciune,Însușirea celui care posedă cunoștințe bogate,substantiv,1
freeware,program de calculator gratuit,substantiv,1
hirotonire,Acțiunea de învestire în funcție a unui arhiereu.,substantiv,1
intercepție,acțiunea prin care un jucător de fotbal american prinde mingea lansată cu piciorul de un jucător advers,substantiv,1
scuipătură,Faptul de a scuipa,substantiv,1
expia,"A suferi din cauza unei greșeli, a o răscumpăra prin suferință.",verb,1
refinanța,a reface resursele bănești descompletate,verb,1
cvintuplet,unul dintre cei cinci copii gemeni,substantiv,1
widia,"varietate de diamant impur, negru și foarte dur, folosit la tăierea sticlei și a porțelanului, ca abraziv etc.",substantiv,1
multiculturalism,Doctrină conform căreia mai multe culturi pot coexista în interiorul aceleiași țări,substantiv,1
jacard,țesătură cu ajutorul acestui dispozitiv,substantiv,1
hepatocarcinom,tumoare hepatică (malignă),substantiv,1
rinoragie,hemoragie nazală,substantiv,1
sfalerit,Sulfură de zinc în stare naturală,substantiv,1
bastilie,"închisoare (cu sens strict, închisoare franceză)",substantiv,1
fosfatază,enzimă capabilă să hidrolizeze și să precipite sărurile organice ale acidului fosforic,substantiv,1
antidepresant,medicament contra depresiunii nervoase,substantiv,1
econometrie,tehnica studierii fenomenelor și proceselor economice pe baza analizei matematice și statistice,substantiv,1
postulant,"cel care solicită un post, o slujbă etc.",substantiv,1
elocvență,Însușirea de a fi elocvent,substantiv,1
actină,una din proteinele în care poate fi separată actomiosina și care se prezintă sub formă globulară sau filiformă,substantiv,1
ringgit,"Unitate a sistemului monetar din Malaiezia, egală cu 100 de sen",substantiv,1
radian,"Unitate de măsură pentru unghiuri, egală cu un unghi la centrul unui cerc cuprinzând un arc de cerc a cărei lungime este egală cu raza cercului",substantiv,1
angiogeneză,formarea de noi vase de sânge,substantiv,1
strictură,"(Med.) Îngustare a unui canal sau a unui orificiu din organism în urma unei cicatrizări, a unei inflamații, a unei tumori etc.",substantiv,1
selsin,"mașină electrică de putere mică, pentru traducerea și transmiterea la distanță a deplasărilor sau a vitezelor unghiulare",substantiv,1
codon,secvență de trei nucleotide ale macromoleculei de acid dezoxiribonucleic care codifică un aminoacid specific,substantiv,1
pașă,Funcția de guvernator al unei provincii din Imperiul Otoman sau titlu al vizirilor și al unor înalți demnitari turci din trecut,substantiv,1
forint,unitatea monetară în Ungaria,substantiv,1
bulcă,"Produs de panificație de formă rotundă sau ovală, ca o pâinișoară, făcut din făină de grâu",substantiv,1
enciclopedist,(persoană) care are cunoștințe enciclopedice,substantiv,1
transcriptază,polimerază asociată cu procesul de transcripție,substantiv,1
vasoconstricție,Micșorare a diametrului vaselor sangvine prin contracția fibrelor musculare netede din pereții lor (ceea ce are drept rezultat reducerea afluxului de sânge),substantiv,1
imunohistochimie,test care indică existența unor antigene specifice în țesut prin folosirea unor marcatori,substantiv,1
foraminifer,ordin de protozoare rizopode marine care au corpul acoperit cu o cochilie calcaroasă perforată de mici orificii,substantiv,1
clostridia,bacterie anaerobă sulfito-reducătoare,substantiv,1
înjumătăți,"A împărți, a tăia, a desface etc. în două",verb,1
arginină,aminoacid din proteine cu rol important în contracția musculară,substantiv,1
citogenetică,Ramură a geneticii care studiază fenomenele ereditare la nivelul nucleului celular,substantiv,1
mutageneză,proces de apariție a mutațiilor,substantiv,1
yoghist,cel care practică exerciții yoga,substantiv,1
histogramă,"grafic din coloane verticale alăturate, reprezentând proporțional diferite mărimi statistice",substantiv,1
ofset,"Procedeu de reproducere și de multiplicare a tipăriturilor cu ajutorul formelor de tipar plane din metal, la care hârtia nu ajunge în contact cu clișeul metalic, ci cu un cilindru de cauciuc care preia imaginea de pe forma de tipar și o aplică pe hârtie",substantiv,1
recto,"prima pagină a unei foi (scrise, tipărite)",substantiv,1
modelor,lucrător care confecționează modele,substantiv,1
modelist,lucrător care confecționează modele,substantiv,1
soață,Femeie măritată considerată în raport cu bărbatul ei,substantiv,1
bullterrier,Câine care vânează șobolani,substantiv,1
omologie,Calitatea a ceea ce este omolog,substantiv,1
căpău,"Câine de vânătoare de talie mare, care urmărește vânatul după miros",substantiv,1
înțărcat,acțiunea de a înlocui în alimentația pruncului laptele mamei cu altă mâncare,substantiv,1
fosfatidă,"Substanță organică compusă, care conține fosfor și care intră în componența celulelor vegetale și animale, mai ales a celor din țesutul nervos",substantiv,1
tugrik,unitatea monetară a Mongoliei,substantiv,1
sindic,"persoană aleasă să reprezinte interesele unei instituții, corporații, asociații",substantiv,1
vitra,A închide cu geam,verb,1
heleșteu,Bazin cu apă sau iaz special amenajat pentru creșterea și reproducerea peștilor.,substantiv,1
mușcător,"care provoacă o senzație dureroasă de arsură, de usturime.",adjectiv,1
unionism,"curent, concepție având la bază această tendință",substantiv,1
anion,ion încărcat cu sarcină negativă,substantiv,1
poinsetia,plantă care crește în mod spontan în Mexic și care a fost introdusă spre comercializare ca plantă ornamentală potrivită Crăciunului,substantiv,1
stipul,"mic apendice membranos sau foliaceu, în perechi, la baza frunzelor",substantiv,1
entalpie,mărime termodinamică exprimată prin energia internă a unei substanțe și produsul dintre presiune și volum,substantiv,1
tarabagiu,"Patron al unui stand de prezentare rudimentar, plasat în aer liber",substantiv,1
cocoloși,"A da formă sferică unei substanțe, unui material",verb,1
giuvaiergerie,Magazin specializat în confecționarea și vânzarea giuvaerurilor,substantiv,1
hryvnia,Unitatea monetară din Ucraina,substantiv,1
poliamidă,"masă plastică obținută prin policondensarea unor (amino) acizi, prin polimerizarea lactamelor etc., folosită la fabricarea unor fibre sintetice",substantiv,1
asană,postură sau metodă de așezare a corpului (de ex. în exercițiile de yoga),substantiv,1
dezrobitor,Persoană care eliberează din captivitate,substantiv,1
operon,(biol.) grup de gene structurale a căror expresie fenotipică este controlată de un operator,substantiv,1
internaționalist,partizan al internaționalismului,substantiv,1
imbricare,"suprapunere parțială, asemenea solzilor de pește, a țiglelor sau șindrilelor de pe un acoperiș",substantiv,1
năduf,Căldură dogoritoare specifică zilelor calde de vară,substantiv,1
zăpușeală,Căldură dogoritoare specifică zilelor calde de vară,substantiv,1
petiționa,A solicita ceva printr-o petiție,verb,1
monoamină,"Moleculă conținând un grup de amină, compus organic derivat al amoniacului (în special un neurotransmițător)",substantiv,1
împământa,(Electr.) A conecta un circuit electric la pământ (punct al cărui potențial se consideră egal cu zero),verb,1
dezvinovățire,Acțiunea de a (se) dezvinovăți,substantiv,1
